GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
1400000US55079002400,55079002400,"Census Tract 24, Milwaukee County, Wisconsin",2244,100.0,2197,97.9,98,4.4,2053,91.5,2,0.1,0,0.0,0,0.0,0,0.0,2,0.1,27,1.2,0,0.0,17,0.8,47,2.1,7,0.3,31,1.4,0,0.0,9,0.4,2244,100.0,48,2.1,17,0.8,23,1.0,3,0.1,5,0.2,2196,97.9,2244,100.0,2197,97.9,39,1.7,2158,96.2,47,2.1,9,0.4,38,1.7
1400000US55079002500,55079002500,"Census Tract 25, Milwaukee County, Wisconsin",2195,100.0,2155,98.2,148,6.7,1949,88.8,11,0.5,3,0.1,0,0.0,0,0.0,8,0.4,3,0.1,6,0.3,38,1.7,40,1.8,5,0.2,35,1.6,0,0.0,0,0.0,2195,100.0,91,4.1,43,2.0,39,1.8,2,0.1,7,0.3,2104,95.9,2195,100.0,2155,98.2,81,3.7,2074,94.5,40,1.8,10,0.5,30,1.4
1400000US55079002600,55079002600,"Census Tract 26, Milwaukee County, Wisconsin",2829,100.0,2751,97.2,186,6.6,2500,88.4,19,0.7,1,0.0,0,0.0,0,0.0,18,0.6,22,0.8,0,0.0,24,0.8,78,2.8,2,0.1,70,2.5,0,0.0,6,0.2,2829,100.0,78,2.8,33,1.2,33,1.2,1,0.0,11,0.4,2751,97.2,2829,100.0,2751,97.2,68,2.4,2683,94.8,78,2.8,10,0.4,68,2.4
1400000US55079002700,55079002700,"Census Tract 27, Milwaukee County, Wisconsin",1995,100.0,1951,97.8,203,10.2,1681,84.3,15,0.8,9,0.5,0,0.0,0,0.0,6,0.3,22,1.1,1,0.1,29,1.5,44,2.2,4,0.2,39,2.0,0,0.0,1,0.1,1995,100.0,57,2.9,34,1.7,20,1.0,0,0.0,3,0.2,1938,97.1,1995,100.0,1951,97.8,54,2.7,1897,95.1,44,2.2,3,0.2,41,2.1
1400000US55079002800,55079002800,"Census Tract 28, Milwaukee County, Wisconsin",2252,100.0,2180,96.8,197,8.7,1878,83.4,9,0.4,3,0.1,0,0.0,0,0.0,6,0.3,59,2.6,1,0.0,36,1.6,72,3.2,8,0.4,52,2.3,3,0.1,9,0.4,2252,100.0,71,3.2,27,1.2,43,1.9,1,0.0,0,0.0,2181,96.8,2252,100.0,2180,96.8,59,2.6,2121,94.2,72,3.2,12,0.5,60,2.7
1400000US55079002900,55079002900,"Census Tract 29, Milwaukee County, Wisconsin",2179,100.0,2131,97.8,306,14.0,1664,76.4,14,0.6,1,0.0,0,0.0,0,0.0,13,0.6,101,4.6,1,0.0,45,2.1,48,2.2,9,0.4,37,1.7,0,0.0,2,0.1,2179,100.0,115,5.3,46,2.1,38,1.7,0,0.0,31,1.4,2064,94.7,2179,100.0,2131,97.8,103,4.7,2028,93.1,48,2.2,12,0.6,36,1.7
1400000US55079003000,55079003000,"Census Tract 30, Milwaukee County, Wisconsin",3782,100.0,3653,96.6,739,19.5,2649,70.0,23,0.6,18,0.5,0,0.0,0,0.0,5,0.1,195,5.2,0,0.0,47,1.2,129,3.4,38,1.0,77,2.0,1,0.0,13,0.3,3782,100.0,168,4.4,57,1.5,95,2.5,6,0.2,10,0.3,3614,95.6,3782,100.0,3653,96.6,128,3.4,3525,93.2,129,3.4,40,1.1,89,2.4
1400000US55079003100,55079003100,"Census Tract 31, Milwaukee County, Wisconsin",3572,100.0,3462,96.9,446,12.5,2639,73.9,19,0.5,11,0.3,0,0.0,0,0.0,8,0.2,315,8.8,0,0.0,43,1.2,110,3.1,18,0.5,81,2.3,2,0.1,9,0.3,3572,100.0,132,3.7,65,1.8,42,1.2,3,0.1,22,0.6,3440,96.3,3572,100.0,3462,96.9,104,2.9,3358,94.0,110,3.1,28,0.8,82,2.3
1400000US55079003200,55079003200,"Census Tract 32, Milwaukee County, Wisconsin",2819,100.0,2744,97.3,457,16.2,1913,67.9,7,0.2,5,0.2,0,0.0,0,0.0,2,0.1,344,12.2,0,0.0,23,0.8,75,2.7,12,0.4,61,2.2,0,0.0,2,0.1,2819,100.0,80,2.8,37,1.3,33,1.2,3,0.1,7,0.2,2739,97.2,2819,100.0,2744,97.3,63,2.2,2681,95.1,75,2.7,17,0.6,58,2.1
1400000US55079003300,55079003300,"Census Tract 33, Milwaukee County, Wisconsin",5182,100.0,4945,95.4,1279,24.7,3234,62.4,19,0.4,13,0.3,0,0.0,0,0.0,6,0.1,351,6.8,0,0.0,62,1.2,237,4.6,22,0.4,177,3.4,11,0.2,27,0.5,5182,100.0,198,3.8,117,2.3,68,1.3,3,0.1,10,0.2,4984,96.2,5182,100.0,4945,95.4,152,2.9,4793,92.5,237,4.6,46,0.9,191,3.7
