Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
062960161;10/23/2006;06:03 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5255 N 37TH ST
062960187;10/23/2006;08:12 PM;7.0;ALL OTHER LARCENY;;;;4834 N MOTHER DANIELS WA
062960201;10/23/2006;06:48 PM;7.0;MOTOR VEHICLE THEFT;;;;3500 W HAMPTON AV
062960203;10/23/2006;09:21 PM;7.0;AGGRAVATED ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4805 N SHERMAN BL #7
062960213;10/23/2006;05:30 PM;4.0;AGGRAVATED ASSAULT;;;;5218 N 36TH ST
062960217;10/23/2006;11:12 PM;7.0;MOTOR VEHICLE THEFT;;;;1801 W OLIVE ST
062970010;10/23/2006;11:30 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5473 N 37TH ST
062950009;10/22/2006;12:23 AM;7.0;MOTOR VEHICLE THEFT;;;;4450 N 27TH ST
062950031;10/22/2006;09:08 AM;4.0;MOTOR VEHICLE THEFT;;;;5425 N 38TH ST
062950040;10/22/2006;08:27 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5260 N 36TH ST
062950051;10/22/2006;10:19 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2838 W ATKINSON AV
062950059;10/22/2006;11:03 AM;7.0;MOTOR VEHICLE THEFT;;;;2822 W ATKINSON AV
062950075;10/22/2006;02:04 PM;4.0;MOTOR VEHICLE THEFT;;;;3100 W VILLARD AV
062950096;10/22/2006;02:51 PM;7.0;AGGRAVATED ASSAULT;;;;5046 N 23RD ST
062950106;10/22/2006;04:01 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;2801 W CUSTER AV
062950116;10/22/2006;10:14 PM;7.0;MOTOR VEHICLE THEFT;;;;5038 N 39TH ST
062950141;10/22/2006;08:34 PM;7.0;MOTOR VEHICLE THEFT;;;;2033 W CONGRESS ST
062950154;10/22/2006;10:40 PM;4.0;MOTOR VEHICLE THEFT;;;;7152 N 41ST ST
062950156;10/22/2006;08:12 PM;7.0;THEFT FROM MOTOR VEHICLE;ALL OTHER LARCENY;;;2014 W HAMPTON AV
062950159;10/22/2006;07:36 PM;7.0;AGGRAVATED ASSAULT;;;;5034 N 41ST ST
062960004;10/22/2006;11:05 PM;7.0;MOTOR VEHICLE THEFT;;;;2106 W EGGERT PL
